Group,Class,Bird_ID,Treatment,GrpSize,BroodSize,residualTAC_clutch_completion,residualTAC_final,uric_clutch_completion,uric_final,SOD_clutch_completion,SOD_final,MDA_clutch_completion,MDA_final,mass_clutch_completion,mass_final
C1001A1,DOM.M,expt155,Eggs_removed,2,NA,NA,NA,NA,NA,83.1,121.94,2.91,2.18,44.6,45.67
GG004EG,SUB.F,expt156,Eggs_removed,5,NA,53.96589702,-172.7255965,1435.95,1318.94,262.75,160.2,3,4.08,43.11,42.44
GG004EG,SUB.M,expt157,Eggs_removed,5,NA,NA,NA,NA,NA,334.17,135.16,NA,3.66,45.19,43.43
GL016EL,SUB.F,expt158,Eggs_left,6,2,56.74862227,-144.1524467,1184.52,1258.45,280.45,337.2,4.51,2.73,43.54,41.03
GL016EL,SUB.M,expt159,Eggs_left,6,2,217.5903363,326.0957478,1081.98,937.29,370.92,378.99,3.97,2.92,49.26,48.28
GL016EL,SUB.M,expt160,Eggs_left,6,2,148.8661909,-85.53393824,1103.84,1289.57,364.89,233.27,3.16,3.97,44.61,43.49
HO020FO,DOM.M,expt161,Eggs_left,5,1,-24.74223357,-154.7880559,800.77,1215.78,479.44,373.53,1.93,4,44.98,45.97
HO020FO,SUB.F,expt162,Eggs_left,5,1,NA,NA,1152,1308.23,544.94,357.02,2.54,NA,41.53,41.42
HO020FO,SUB.M,expt163,Eggs_left,5,1,196.5210633,83.82529259,1769.59,1815.17,421.86,350.31,3.24,3.38,41.04,41.44
I1001G1,DOM.M,expt164,Eggs_removed,4,NA,-25.01374279,-45.2279825,2007.58,1103.22,166.43,175.61,2.78,2.1,46.78,47.23
K1002I1,DOM.M,expt165,Eggs_removed,2,NA,138.5859071,139.0401227,1040.3,964.01,129.09,236.48,4.63,3.34,45,48.84
KM003IM,DOM.M,expt166,Eggs_removed,3,NA,218.3670565,-222.1629246,1313.2,1067.55,110.06,174.16,2.1,2.56,47.64,47.89
LA014JA,DOM.M,expt167,Eggs_removed,8,NA,93.5701686,86.5124445,1065.23,881.64,165.09,230.38,4.08,3.71,43.05,42.55
LA014JA,SUB.M,expt168,Eggs_removed,8,NA,-91.8993523,-5.714454552,1049.87,556.8,170.16,243.75,5.56,3.67,46.4,46.02
LE003JE,DOM.M,expt169,Eggs_removed,5,NA,211.4114975,-73.00932721,989.23,909.22,267.75,180.87,3.63,2.8,44.73,46.03
LE003JE,SUB.M,expt170,Eggs_removed,5,NA,-31.23627396,-129.1611768,453.16,1313.75,167.57,186.84,2.41,3.53,44.19,45.3
M1002K1,SUB.F,expt171,Eggs_left,4,NA,NA,NA,NA,1513.65,NA,NA,1.9,3.63,40.13,38.8
MI001KI,DOM.M,expt172,Eggs_left,3,1,-95.43636338,-182.6450012,974.5,1010.98,133.31,203.17,3.35,3.46,47.35,44.53
PY013NY,DOM.M,expt173,Eggs_left,2,1,-130.6527335,54.43605332,1710.56,918.31,182.17,238.97,5.26,3.62,46.36,43.12
QK010OK,SUB.M,expt174,Eggs_left,7,1,NA,NA,NA,NA,199.35,171.5,3.67,2.74,37.75,38.93
RO008PO,DOM.M,expt175,Eggs_left,5,2,-149.3721455,-249.3334128,825.08,1154.17,270.01,249.8,3.38,3.79,47.18,47.51
RO008PO,SUB.F,expt176,Eggs_left,5,2,NA,NA,NA,1434.76,147.62,207.64,2.31,2.83,45.3,43.78
RO008PO,SUB.M,expt177,Eggs_left,5,2,NA,NA,NA,1406.36,293.2,428.35,4.22,2.95,50.05,49.35
RO008PO,SUB.M,expt178,Eggs_left,5,2,NA,NA,NA,1462.36,200.92,445.31,3.84,3.35,43.77,44.56
YE014WE,DOM.M,expt179,Eggs_left,7,1,-185.9838279,-49.09356711,670.71,683.64,154.4,193.02,2.13,2.38,46.86,48.18
YE014WE,SUB.F,expt180,Eggs_left,7,1,44.42377989,-197.1729638,689.38,968.2,274.44,149.52,2.74,2.25,42.87,43.43
YE014WE,SUB.M,expt181,Eggs_left,7,1,-28.12209075,-13.23187671,1076.3,633.62,270.76,166.13,3.25,2.41,48.82,49.78
AI010YI,DOM.M,expt182,Eggs_left,3,2,24.83248357,-25.77477332,1320.38,1487.08,254.44,143.57,3.94,3.2,44.9,44.9
AI010YI,SUB.M,expt183,Eggs_left,3,2,NA,NA,NA,NA,275.91,167.04,3.21,3.12,42.84,42.27
BE009ZE,DOM.M,expt184,Eggs_left,6,1,185.2658711,2.173394072,1222.21,1158.44,NA,152.32,4.86,2.71,48.72,49.53
BE009ZE,SUB.F,expt185,Eggs_left,6,1,-23.76449891,-353.672167,1164.36,1025.73,351.31,127.2,3.03,2.59,40.56,41.57
BE009ZE,SUB.F,expt186,Eggs_left,6,1,NA,NA,2421.99,1381.94,252.24,150.36,3.3,5.57,41.24,41.27
BE009ZE,SUB.M,expt187,Eggs_left,6,1,NA,NA,NA,NA,318.26,132.91,3.55,2.92,46.4,48.94
TA012RA,DOM.M,expt188,Eggs_left,5,1,NA,NA,NA,NA,NA,NA,NA,NA,45.85,47.76